Brand,Avg Price UGX,Fuel_Name
Hass Petroleum,5237.666666666667,Petrol
Shell,5191.259259259259,Petrol
Oryx,5185.12962962963,Petrol
Total Energies,5144.2962962962965,Petrol
Stabex,5036.935185185185,Petrol
Hass Petroleum,4846.055555555556,Diesel
Shell,4795.305555555556,Diesel
Oryx,4791.740740740741,Diesel
Total Energies,4747.759259259259,Diesel
Stabex,4655.768518518518,Diesel
Hass Petroleum,4243.962962962963,Kerosene
Shell,4192.509259259259,Kerosene
Oryx,4188.722222222223,Kerosene
Total Energies,4154.2962962962965,Kerosene
Stabex,4070.824074074074,Kerosene
